rank,shortname,url,length_chars,words,difficulty,name
91,swapfrenzy,https://open.kattis.com/problems/swapfrenzy,521,101,8.9,Swap Frenzy
92,primitiveroots,https://open.kattis.com/problems/primitiveroots,522,113,6.7,Primitive Roots
93,aplusb,https://open.kattis.com/problems/aplusb,526,108,5.7,A+B Problem
94,giskadu,https://open.kattis.com/problems/giskadu,526,92,2.3 - 3.1,Giskaðu á svarið
95,multiplications,https://open.kattis.com/problems/multiplications,528,108,1.3 - 1.9,Multiplication
96,sjecista,https://open.kattis.com/problems/sjecista,528,91,1.7,Sjecista
97,salt,https://open.kattis.com/problems/salt,532,106,6.9,Salt
98,nodup,https://open.kattis.com/problems/nodup,533,104,1.5,No Duplicates
99,storafmaeli,https://open.kattis.com/problems/storafmaeli,544,101,1.1,Stórafmæli
100,allmodulopythagorean,https://open.kattis.com/problems/allmodulopythagorean,545,113,5.9,All Modulo Pythagorean
101,isyavowel,https://open.kattis.com/problems/isyavowel,548,111,1.2,Is Y a Vowel?
102,powerofdivisors,https://open.kattis.com/problems/powerofdivisors,548,108,5.3,Power of Divisors
103,pascal,https://open.kattis.com/problems/pascal,552,103,3.7,Pascal
104,howmanyzeros,https://open.kattis.com/problems/howmanyzeros,554,108,3.1,How many 0's?
105,pizza2,https://open.kattis.com/problems/pizza2,554,102,1.6,Pizza Crust
106,quiteaproblem,https://open.kattis.com/problems/quiteaproblem,555,101,1.9,Quite a Problem
107,goingnuts,https://open.kattis.com/problems/goingnuts,557,104,1.3,Going Nuts
108,warmup2,https://open.kattis.com/problems/warmup2,557,99,1.4,Warmup
109,amultiplicationgame,https://open.kattis.com/problems/amultiplicationgame,559,110,2.9,A Multiplication Game
110,divisors,https://open.kattis.com/problems/divisors,559,105,5.0,Divisors
111,kvedja,https://open.kattis.com/problems/kvedja,561,99,1.1,Kveðja
112,snakesandmasters,https://open.kattis.com/problems/snakesandmasters,561,109,3.0,Snakes and Masters
113,sumsets,https://open.kattis.com/problems/sumsets,562,113,6.8,Sumsets
114,knightpacking,https://open.kattis.com/problems/knightpacking,565,113,1.2,Knight Packing
115,moreorless,https://open.kattis.com/problems/moreorless,566,104,1.6,More or Less
116,reseto,https://open.kattis.com/problems/reseto,567,113,2.1,Reseto
117,royalrouting,https://open.kattis.com/problems/royalrouting,567,111,4.6,Royal Routing
118,multiplicationoversymmetricdifference,https://open.kattis.com/problems/multiplicationoversymmetricdifference,570,103,6.2,Multiplication Over Symmetric Difference
119,anypythagorean,https://open.kattis.com/problems/anypythagorean,571,105,2.0,Any Pythagorean Triple
120,infinite2darray,https://open.kattis.com/problems/infinite2darray,571,129,5.6,Infinite 2D Array
121,listgame2,https://open.kattis.com/problems/listgame2,574,104,8.7,A Different List Game
122,skalagerd,https://open.kattis.com/problems/skalagerd,578,112,1.6,Skálagerð
123,waterslidewasteeasy,https://open.kattis.com/problems/waterslidewasteeasy,578,112,1.5,Water Slide Waste (Easy)
124,egypt,https://open.kattis.com/problems/egypt,579,109,1.7,Egypt
125,pravokutni,https://open.kattis.com/problems/pravokutni,584,108,6.2,Pravokutni
126,aldur,https://open.kattis.com/problems/aldur,586,111,1.2,Aldur
127,gridmst,https://open.kattis.com/problems/gridmst,586,110,5.3,Grid MST
128,countdoubles,https://open.kattis.com/problems/countdoubles,587,119,1.8,Count Doubles
129,suffidromes,https://open.kattis.com/problems/suffidromes,590,107,7.9,Suffidromes
130,rectanglearea,https://open.kattis.com/problems/rectanglearea,591,104,1.3,Rectangle Area
131,areal,https://open.kattis.com/problems/areal,594,114,1.7,A Real Challenge
132,earlyorders,https://open.kattis.com/problems/earlyorders,594,111,5.6,Early Orders
133,evenodd,https://open.kattis.com/problems/evenodd,595,117,5.9,EvenOdd
134,longestcollatz,https://open.kattis.com/problems/longestcollatz,597,115,3.4,Longest Collatz Chain
135,vidsnuningur,https://open.kattis.com/problems/vidsnuningur,597,114,1.1,Viðsnúningur
136,ekkidaudi,https://open.kattis.com/problems/ekkidaudi,598,107,1.4 - 1.5,Ekki dauði opna inni
137,fromatob,https://open.kattis.com/problems/fromatob,599,111,2.6,From A to B
138,stringmultimatching,https://open.kattis.com/problems/stringmultimatching,601,113,4.4,String Multimatching
139,powers,https://open.kattis.com/problems/powers,607,124,4.2,Powers and Modulus
140,primecount,https://open.kattis.com/problems/primecount,607,127,2.8 - 7.9,Prime Count
141,listgame,https://open.kattis.com/problems/listgame,609,110,2.7,A List Game
142,unionfind,https://open.kattis.com/problems/unionfind,610,125,2.7,Union-Find
143,lastfactorialdigit,https://open.kattis.com/problems/lastfactorialdigit,611,125,1.3,Last Factorial Digit
144,monamonamona,https://open.kattis.com/problems/monamonamona,616,112,1.5,"Mona, Mona, Mona"
145,foursquare,https://open.kattis.com/problems/foursquare,617,115,5.9,Four Square
146,classicalcounting,https://open.kattis.com/problems/classicalcounting,618,117,7.7,Classical Counting
147,pokerhand,https://open.kattis.com/problems/pokerhand,619,118,1.4,Poker Hand
148,politicaldistance,https://open.kattis.com/problems/politicaldistance,621,104,1.9,Political Distance
149,convexhull,https://open.kattis.com/problems/convexhull,623,113,2.5,Convex Hull
150,consecutiveprimesums,https://open.kattis.com/problems/consecutiveprimesums,626,131,4.0,Consecutive Prime Sums
151,honey,https://open.kattis.com/problems/honey,626,121,2.5,Honeycomb Walk
152,crackerbaking,https://open.kattis.com/problems/crackerbaking,632,118,1.7,Cracker Baking
153,aboveaverage,https://open.kattis.com/problems/aboveaverage,633,123,1.7,Above Average
154,alphabet,https://open.kattis.com/problems/alphabet,633,117,2.8,Alphabet
155,dejavu,https://open.kattis.com/problems/dejavu,636,119,2.6,Dejavu
156,hipphipphurra,https://open.kattis.com/problems/hipphipphurra,638,111,1.2,Hipp Hipp Húrra
157,hissingmicrophone,https://open.kattis.com/problems/hissingmicrophone,638,114,1.2,Hissing Microphone
158,13floors,https://open.kattis.com/problems/13floors,640,112,1.5,13 Floors
159,ladder,https://open.kattis.com/problems/ladder,642,128,1.4,Ladder
160,inversefactorial,https://open.kattis.com/problems/inversefactorial,643,126,5.1,Inverse Factorial
161,squaredeal,https://open.kattis.com/problems/squaredeal,644,118,2.7,Square Deal
162,rationalarithmetic,https://open.kattis.com/problems/rationalarithmetic,645,119,2.8,Rational Arithmetic
163,stafur,https://open.kattis.com/problems/stafur,645,115,1.5,Stafur
164,eclips,https://open.kattis.com/problems/eclips,646,119,1.4,E-Clips
165,dictionary,https://open.kattis.com/problems/dictionary,647,122,5.3 - 9.6,Dictionary Compression
166,digitswap,https://open.kattis.com/problems/digitswap,648,119,1.2,Digit Swap
167,oddbinom,https://open.kattis.com/problems/oddbinom,649,117,3.4,Odd Binomial Coefficients
168,saet,https://open.kattis.com/problems/saet,649,133,4.1,Set
169,zgodan,https://open.kattis.com/problems/zgodan,651,112,5.1,Zgodan
170,digitsum,https://open.kattis.com/problems/digitsum,652,138,4.9,Digit Sum
171,generalizedknights,https://open.kattis.com/problems/generalizedknights,652,132,7.4,Generalized Knights
172,weightofwords,https://open.kattis.com/problems/weightofwords,652,131,2.1,The Weight Of Words
173,uppahaldstala,https://open.kattis.com/problems/uppahaldstala,653,138,4.4,Uppáhaldstala
174,triangularcollection,https://open.kattis.com/problems/triangularcollection,655,124,5.0,Triangular Collection
175,abc,https://open.kattis.com/problems/abc,656,133,1.7,ABC
176,dagatal,https://open.kattis.com/problems/dagatal,660,125,1.2,Dagatal
177,cudak,https://open.kattis.com/problems/cudak,663,129,5.5,Cudak
178,foolingaround,https://open.kattis.com/problems/foolingaround,663,129,7.1,Fooling Around
179,loworderzeros,https://open.kattis.com/problems/loworderzeros,664,126,3.6,Low Order Zeros
180,repeatedsubstrings,https://open.kattis.com/problems/repeatedsubstrings,664,109,6.0,Repeated Substrings
181,fimmtudagstilbod,https://open.kattis.com/problems/fimmtudagstilbod,665,132,1.1 - 1.4,Fimmtudagstilboð
182,consecutivesums,https://open.kattis.com/problems/consecutivesums,665,135,3.2,Sums
183,avoidingsubsequence,https://open.kattis.com/problems/avoidingsubsequence,667,127,4.2,Avoiding Subsequence
184,closestpair1,https://open.kattis.com/problems/closestpair1,668,123,3.4,Closest Pair (Uniform)
185,fibonaccisum,https://open.kattis.com/problems/fibonaccisum,668,126,2.0,Minimal Fibonacci Sums
186,nsum,https://open.kattis.com/problems/nsum,668,126,1.2,N-sum
187,threepowers,https://open.kattis.com/problems/threepowers,668,130,2.2,Three Powers
188,countthevowels,https://open.kattis.com/problems/countthevowels,669,126,1.2,Count the Vowels
189,swaptosort,https://open.kattis.com/problems/swaptosort,670,131,2.6,Swap to Sort
190,makingpalindromes,https://open.kattis.com/problems/makingpalindromes,671,116,5.6,Making Palindromes
191,chorddetection2,https://open.kattis.com/problems/chorddetection2,672,123,5.2,Chord Detection 2
192,gridmagic,https://open.kattis.com/problems/gridmagic,673,129,2.7,Grid Magic
193,powersof2easy,https://open.kattis.com/problems/powersof2easy,673,131,2.0,Powers of 2 (Easy)
194,dragafra,https://open.kattis.com/problems/dragafra,674,118,1.1,Draga Frá
195,powersof2,https://open.kattis.com/problems/powersof2,674,131,7.0,Powers of 2
196,fjolmenni,https://open.kattis.com/problems/fjolmenni,675,116,2.9,Fjölmenni
197,compoundwords,https://open.kattis.com/problems/compoundwords,678,126,1.6,Compound Words
198,itsamodmodmodmodworld,https://open.kattis.com/problems/itsamodmodmodmodworld,678,128,6.7,"It's a Mod, Mod, Mod, Mod World"
199,combinatorialstanleycup,https://open.kattis.com/problems/combinatorialstanleycup,681,128,2.5,Combinatorial Stanley Cup
200,associativeexponents,https://open.kattis.com/problems/associativeexponents,683,132,3.5,Associative Exponents
201,calculator,https://open.kattis.com/problems/calculator,684,107,3.1,Calculator
202,longswaps,https://open.kattis.com/problems/longswaps,684,141,3.4,Long Swaps
203,99problems,https://open.kattis.com/problems/99problems,685,136,2.6,99 Problems
204,gameparty,https://open.kattis.com/problems/gameparty,685,134,2.4,Game Party
205,fakearithmeticsequence,https://open.kattis.com/problems/fakearithmeticsequence,686,129,3.3,Fake Arithmetic Sequence
206,perfectpowers,https://open.kattis.com/problems/perfectpowers,686,143,3.7,Perfect Pth Powers
207,counting,https://open.kattis.com/problems/counting,688,129,1.2,Skip Counting
208,certainly,https://open.kattis.com/problems/certainly,689,117,1.5,Certainly
209,triarea,https://open.kattis.com/problems/triarea,689,128,1.2,Triangle Area
210,hardarray,https://open.kattis.com/problems/hardarray,690,132,6.6,Hard Array Problem
211,arithmeticfunctions,https://open.kattis.com/problems/arithmeticfunctions,691,118,1.8,Arithmetic Functions
212,uppognidur,https://open.kattis.com/problems/uppognidur,692,142,7.8,Upp og niður
213,upsidedown,https://open.kattis.com/problems/upsidedown,692,128,1.5,Upside Down
214,isomorphicinversion,https://open.kattis.com/problems/isomorphicinversion,695,131,5.6,Isomorphic Inversion
215,divisorshuffle,https://open.kattis.com/problems/divisorshuffle,696,139,3.4,Divisor Shuffle
216,anagramcounting,https://open.kattis.com/problems/anagramcounting,697,125,3.2,Anagram Counting
217,largesttriangle,https://open.kattis.com/problems/largesttriangle,697,134,6.5,Largest Triangle
218,modulararithmetic,https://open.kattis.com/problems/modulararithmetic,697,142,2.4,Modular Arithmetic
219,reversiblecyclic,https://open.kattis.com/problems/reversiblecyclic,698,136,3.1,Reversibly Cyclic Strings
220,bracketmatching,https://open.kattis.com/problems/bracketmatching,699,128,1.6,Bracket Matching
221,pythagoreanproblem,https://open.kattis.com/problems/pythagoreanproblem,699,132,1.9,Pythagorean Problem
222,squarepeg,https://open.kattis.com/problems/squarepeg,699,142,1.5,Square Peg
223,cetiri,https://open.kattis.com/problems/cetiri,702,117,1.8,Cetiri
224,equationsolverplus,https://open.kattis.com/problems/equationsolverplus,703,133,6.7,Partial Linear Equation Solver
225,prosjek,https://open.kattis.com/problems/prosjek,704,130,4.1,Prosjek
226,sortofsort,https://open.kattis.com/problems/sortofsort,704,135,1.9,Sort of Sort
227,haybales,https://open.kattis.com/problems/haybales,705,133,5.3,Hay Bales
228,ellipticcurvemultiplication,https://open.kattis.com/problems/ellipticcurvemultiplication,706,140,3.7,Elliptic Curve Point Multiplication
229,twostones,https://open.kattis.com/problems/twostones,706,140,1.1,Take Two Stones
230,ovissa,https://open.kattis.com/problems/ovissa,706,129,1.1,Óvissa
231,lubbilaerir,https://open.kattis.com/problems/lubbilaerir,707,127,1.1,Lubbi Lærir
232,stirlingsapproximation,https://open.kattis.com/problems/stirlingsapproximation,707,124,3.9,Stirling's Approximation
233,takkfyrirmig,https://open.kattis.com/problems/takkfyrirmig,710,129,1.1,Takk fyrir mig
234,potus,https://open.kattis.com/problems/potus,714,132,5.5,POTUS
235,alexandbarb,https://open.kattis.com/problems/alexandbarb,717,137,3.7,Alex and Barb
236,basicremains,https://open.kattis.com/problems/basicremains,717,143,3.1,Basic Remains
237,closestsums,https://open.kattis.com/problems/closestsums,718,137,2.2,Closest Sums
238,convexpolygonarea,https://open.kattis.com/problems/convexpolygonarea,720,132,1.9,Convex Polygon Area
239,olderbrother,https://open.kattis.com/problems/olderbrother,720,135,2.7,Older Brother
240,bus,https://open.kattis.com/problems/bus,721,138,1.7,Bus
241,candydivision,https://open.kattis.com/problems/candydivision,721,130,2.9,Candy Division
242,socialdistancing,https://open.kattis.com/problems/socialdistancing,722,126,8.1,Social Distancing
243,divideby100,https://open.kattis.com/problems/divideby100,723,128,3.4,Divide by 100...
244,funwithfibonacci,https://open.kattis.com/problems/funwithfibonacci,724,151,8.6,Fun with Fibonacci
245,addtwonumbers,https://open.kattis.com/problems/addtwonumbers,727,140,1.2,Add Two Numbers
246,smallestrepetitivemultiple,https://open.kattis.com/problems/smallestrepetitivemultiple,728,137,5.0,Smallest Repetitive Multiple
247,heimanamsval,https://open.kattis.com/problems/heimanamsval,730,134,5.6,Heimanámsval
248,magicalgcd,https://open.kattis.com/problems/magicalgcd,731,136,5.1,Magical GCD
249,zbrka,https://open.kattis.com/problems/zbrka,731,141,4.9,Zbrka
250,allsquaresums,https://open.kattis.com/problems/allsquaresums,732,144,6.4,All Square Sums
251,bidendalausbid,https://open.kattis.com/problems/bidendalausbid,733,140,1.3 - 2.0,"Bið, endalaus bið"
252,digits,https://open.kattis.com/problems/digits,733,137,2.9,Digits
253,subtractionplusplus,https://open.kattis.com/problems/subtractionplusplus,733,132,5.2,Subtraction Plus Plus
254,takingoutthetrash,https://open.kattis.com/problems/takingoutthetrash,733,148,2.9,Taking Out the Trash
255,pet,https://open.kattis.com/problems/pet,734,134,1.3,Pet
256,subtractionplusplusplus,https://open.kattis.com/problems/subtractionplusplusplus,735,132,4.1,Subtraction Plus Plus Plus
257,tight,https://open.kattis.com/problems/tight,735,155,2.6,Tight words
258,polymul1,https://open.kattis.com/problems/polymul1,737,132,1.7,Polynomial Multiplication 1
259,alphabetsoup,https://open.kattis.com/problems/alphabetsoup,738,136,1.6,Alphabet Soup
260,catinabox,https://open.kattis.com/problems/catinabox,739,149,1.3,Cat in a Box
261,eatingout,https://open.kattis.com/problems/eatingout,740,138,2.7,Eating Out
262,powerstrings,https://open.kattis.com/problems/powerstrings,741,141,4.8,Power Strings
263,wertyu,https://open.kattis.com/problems/wertyu,741,137,2.6,WERTYU
264,hindex,https://open.kattis.com/problems/hindex,743,143,3.3,H-Index
265,primaryarithmetic,https://open.kattis.com/problems/primaryarithmetic,745,138,2.5,Primary Arithmetic
266,kindaokarray,https://open.kattis.com/problems/kindaokarray,746,149,8.2,Kinda Ok Array Problem
267,rainbownumbers,https://open.kattis.com/problems/rainbownumbers,746,140,6.0,Rainbow Numbers
268,takkar,https://open.kattis.com/problems/takkar,746,138,1.1,Takkar
269,leggjasaman,https://open.kattis.com/problems/leggjasaman,747,139,1.1,Leggja saman
270,applications,https://open.kattis.com/problems/applications,748,136,7.4,Applications
271,timeloop,https://open.kattis.com/problems/timeloop,748,143,1.2,Stuck In A Time Loop
272,bordspil,https://open.kattis.com/problems/bordspil,749,150,3.7 - 4.0,Borðspil
273,findingana,https://open.kattis.com/problems/findingana,749,144,1.3,Finding An A
274,navigationnightmare,https://open.kattis.com/problems/navigationnightmare,750,135,1.5,Navigation Nightmare
275,pseudoprime,https://open.kattis.com/problems/pseudoprime,753,154,3.2,Pseudoprime numbers
276,abovesealevel,https://open.kattis.com/problems/abovesealevel,754,134,1.2,Above Sea Level
277,catinatree,https://open.kattis.com/problems/catinatree,755,154,7.0,Cat in a tree
278,divisordetective,https://open.kattis.com/problems/divisordetective,755,133,2.7,Divisor Detective
279,readysetgo,https://open.kattis.com/problems/readysetgo,755,149,1.4,"Ready, Set, Go!"
280,exponentiallyfun,https://open.kattis.com/problems/exponentiallyfun,756,149,6.0,Exponentially Fun Problem
281,freeforminput,https://open.kattis.com/problems/freeforminput,757,140,2.1,Free-Form Input
282,sorttwonumbers,https://open.kattis.com/problems/sorttwonumbers,759,141,1.2,Sort Two Numbers
283,codenames,https://open.kattis.com/problems/codenames,760,149,5.0,Code Names
284,cattoys,https://open.kattis.com/problems/cattoys,761,147,1.5,Cat Toys
285,exactchange,https://open.kattis.com/problems/exactchange,762,141,1.6,Exact Change
286,duckpond,https://open.kattis.com/problems/duckpond,763,149,2.8,Duck Pond
287,howmanydigits,https://open.kattis.com/problems/howmanydigits,763,143,3.2,How Many Digits?
288,callforproblemsround2,https://open.kattis.com/problems/callforproblemsround2,764,137,1.5,"Call for Problems, Round 2"
289,missingnumber,https://open.kattis.com/problems/missingnumber,764,140,3.4,Missing Number
290,oktalni,https://open.kattis.com/problems/oktalni,764,145,1.7,Oktalni
291,fjoldibokstafa,https://open.kattis.com/problems/fjoldibokstafa,765,141,1.1 - 1.3,Fjöldi Bókstafa
292,matchsticks,https://open.kattis.com/problems/matchsticks,765,132,3.8,Matchsticks
293,diceresults,https://open.kattis.com/problems/diceresults,766,154,6.6,Dice Results
294,ellipticcurveaddition,https://open.kattis.com/problems/ellipticcurveaddition,766,144,3.4,Elliptic Curve Addition
295,reducedidnumbers,https://open.kattis.com/problems/reducedidnumbers,766,130,2.2,Reduced ID Numbers
296,zoom,https://open.kattis.com/problems/zoom,766,135,1.5,Zoom
297,tri,https://open.kattis.com/problems/tri,767,120,1.8,Tri
298,justdoit,https://open.kattis.com/problems/justdoit,768,146,8.1,Just Do It
299,justabit,https://open.kattis.com/problems/justabit,770,146,1.3,Just a Bit
300,headguard,https://open.kattis.com/problems/headguard,771,148,2.2,Head Guard
301,jollyjumpers,https://open.kattis.com/problems/jollyjumpers,771,145,2.1,Jolly Jumpers
302,rectsect,https://open.kattis.com/problems/rectsect,771,135,3.0,RectSect
303,whichnumberkindisit2,https://open.kattis.com/problems/whichnumberkindisit2,771,163,1.4,Which Number Kind Is It?
304,tightlypacked,https://open.kattis.com/problems/tightlypacked,772,143,5.6,Tightly Packed
305,equationsolver,https://open.kattis.com/problems/equationsolver,774,146,4.6,Linear Equation Solver
306,vedurvindhradi,https://open.kattis.com/problems/vedurvindhradi,774,143,1.6,Veður - Vindhraði
307,parity,https://open.kattis.com/problems/parity,776,154,2.8,Parity
308,thisaintyourgrandpascheckerboard,https://open.kattis.com/problems/thisaintyourgrandpascheckerboard,777,151,1.7,This Ain't Your Grandpa's Checkerboard
309,nonprimefactors,https://open.kattis.com/problems/nonprimefactors,779,146,5.6,Non-Prime Factors
310,gcds,https://open.kattis.com/problems/gcds,780,148,3.7,GCDs
311,phonebook,https://open.kattis.com/problems/phonebook,781,143,1.4,Phone Book
312,pointinpolygon,https://open.kattis.com/problems/pointinpolygon,782,152,3.9,Point in Polygon
313,skeytasaman,https://open.kattis.com/problems/skeytasaman,784,148,1.1,Concatenate
314,rectanglesurrounding,https://open.kattis.com/problems/rectanglesurrounding,785,144,2.6,The Rectangles Are Surrounding Us!
